tra_infr,unit,geo\time	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 
RD_URB,NR,CH	: 	204 	164 	171 	191 	137 	124 	141 	135 	137 	114 	133 	125 	113 	93 	119 	88 	87 	103 	65 	104 	83 
RD_URB,NR,CY	: 	: 	: 	: 	: 	61 	53 	49 	57 	42 	42 	40 	31 	30 	34 	37 	35 	38 	26 	32 	29 	: 
RD_URB,NR,CZ	613 	525 	570 	556 	525 	503 	427 	442 	444 	329 	291 	280 	265 	241 	234 	220 	215 	193 	217 	187 	154 	187 
RD_URB,NR,DE	1829 	1726 	1684 	1646 	1484 	1471 	1384 	1335 	1261 	1225 	1011 	1115 	1062 	977 	983 	1048 	960 	976 	984 	932 	810 	746 
RD_URB,NR,DK	181 	125 	126 	114 	120 	95 	101 	129 	129 	92 	78 	69 	59 	59 	46 	62 	66 	53 	49 	64 	52 	45 
RD_URB,NR,EE	: 	: 	: 	: 	: 	46 	46 	63 	41 	19 	14 	25 	: 	: 	22 	: 	20 	14 	13 	17 	17 	11 
RD_URB,NR,EL	694 	830 	718 	716 	766 	758 	774 	724 	744 	646 	593 	559 	499 	464 	401 	388 	427 	340 	367 	370 	325 	314 
RD_URB,NR,ES	1061 	960 	900 	912 	894 	779 	724 	728 	621 	576 	539 	446 	452 	440 	437 	441 	519 	509 	489 	519 	395 	417 
RD_URB,NR,EU27_2020	16897 	16676 	16040 	15279 	14999 	14902 	13845 	14221 	14155 	12521 	11197 	10768 	9848 	9120 	9112 	8891 	9101 	8982 	8939 	8777 p	7407 p	7520 p
RD_URB,NR,FI	103 	113 	105 	101 	82 	101 	93 	81 	108 	76 	63 	74 	56 	57 	62 	75 	63 	57 	62 	36 	62 	57 
RD_URB,NR,FR	2252 	2268 	2045 	1661 	1526 	1664 	1346 	1359 	1235 	1252 	1133 	1096 	1027 	932 	993 	987 	1016 	1007 	963 	1034 	845 	956 
RD_URB,NR,HR	: 	: 	: 	: 	: 	: 	: 	328 	414 	316 	265 	252 	230 	213 	191 	220 	176 	186 	175 	164 	142 	163 
RD_URB,NR,HU	: 	: 	: 	478 	476 	502 	508 	505 	419 	301 	272 	234 	210 	232 	237 	261 	224 	229 	238 	223 	150 	186 
RD_URB,NR,IE	126 	104 	104 	89 	108 	80 	62 	77 	62 	56 	45 	38 	46 	35 	60 	34 	52 	43 	48 	: 	: 	: 
